genre,pub_year,genre,pub_year,mean_score,count
,2000,metal,2015,7.472413793103449,58
,2000,metal,2016,7.397872340425532,47
,2000,metal,2017,7.9,1
,2000,pop/r&b,1999,6.616666666666667,6
,2000,pop/r&b,2000,6.364705882352941,17
,2000,pop/r&b,2001,6.930769230769231,13
,2000,pop/r&b,2002,6.175757575757576,33
,2000,pop/r&b,2003,6.620588235294119,34
,2000,pop/r&b,2004,6.5982758620689665,58
,2000,pop/r&b,2005,7.04181818181818,55
,2000,pop/r&b,2006,6.842647058823529,68
,2000,pop/r&b,2007,6.619999999999999,65
,2000,pop/r&b,2008,6.9253164556962075,79
,2000,pop/r&b,2009,6.938271604938274,81
,2000,pop/r&b,2010,7.078947368421054,76
,2000,pop/r&b,2011,6.938202247191011,89
,2000,pop/r&b,2012,6.866666666666666,72
,2000,pop/r&b,2013,7.007594936708864,79
,2000,pop/r&b,2014,6.765714285714288,70
,2000,pop/r&b,2015,7.037254901960782,102
,2000,pop/r&b,2016,7.2778625954198475,131
,2000,rap,1999,8.333333333333334,3
,2000,rap,2000,6.777777777777778,9
,2000,rap,2001,7.7,10
,2000,rap,2002,7.311627906976745,43
,2000,rap,2003,7.095454545454548,66
,2000,rap,2004,7.217808219178082,73
,2000,rap,2005,7.134999999999998,80
,2000,rap,2006,6.701639344262296,61
,2000,rap,2007,6.770769230769231,65
,2000,rap,2008,6.507042253521129,71
,2000,rap,2009,6.610256410256411,78
,2000,rap,2010,6.812048192771085,83
,2000,rap,2011,6.834000000000002,100
,2000,rap,2012,6.854814814814816,135
,2000,rap,2013,6.947368421052634,95
,2000,rap,2014,7.119148936170211,94
,2000,rap,2015,6.959493670886072,158
,2000,rap,2016,6.9679347826087,184
,2000,rap,2017,6.38,5
,2000,rock,1999,6.755045871559632,109
,2000,rock,2000,6.7697916666666655,192
,2000,rock,2001,7.221900826446277,242
,2000,rock,2002,6.680528846153846,416
,2000,rock,2003,6.893482688391045,491
,2000,rock,2004,7.197537878787881,528
,2000,rock,2005,6.9508591065292205,582
,2000,rock,2006,6.945391304347829,575
,2000,rock,2007,6.79229480737019,597
,2000,rock,2008,6.84982876712329,584
,2000,rock,2009,6.773381294964029,556
,2000,rock,2010,6.924180327868848,488
,2000,rock,2011,7.080041152263378,486
,2000,rock,2012,7.010361445783133,415
,2000,rock,2013,7.092708333333342,384
,2000,rock,2014,7.047633136094675,338
,2000,rock,2015,6.970669745958429,433
,2000,rock,2016,7.287153652392952,397
